epoch,loss,accuracy
1,1.30017205959058,46.03250478011472
2,1.04939196901467,50.764818355640536
3,1.0086135250011474,59.32122370936902
4,0.8955386749660695,65.29636711281071
5,0.7904089432181293,76.0038240917782
6,0.6853400030891403,81.83556405353728
7,0.5719784654051293,85.56405353728489
8,0.5014414099109081,90.10516252390057
9,0.4330635323324276,90.77437858508604
10,0.3920713093785839,93.26003824091778
11,0.3571572852043705,95.02868068833652
12,0.27152833717214014,94.98087954110899
13,0.24497701468671323,96.79732313575526
14,0.21921010476089162,96.17590822179733
15,0.20401964220751562,97.27533460803059
