period,loss,perplexity
1,8.701663970947266,5745.5908203125
2,677.0806965827942,586.9650268554688
3,624.1875243186951,395.6504821777344
4,582.7797532081604,264.2830505371094
5,552.3501677513123,197.10934448242188
6,519.7605724334717,197.10934448242188
