epoch,loss,accuracy
1,1.4163090118015085,38.24091778202677
2,1.161872793699949,53.05927342256214
3,1.0385084616318914,61.376673040152966
4,0.9518509268305684,55.01912045889102
5,0.8604779848615631,74.09177820267686
6,0.7261191779420576,78.72848948374761
7,0.6484275349906383,75.90822179732314
8,0.5981467416268269,87.8585086042065
9,0.5085189613222166,86.9980879541109
10,0.4492841907812439,90.39196940726578
11,0.3780068862074204,92.97323135755258
12,0.3368613853595639,93.97705544933078
13,0.33638910772918745,96.65391969407266
14,0.2567659430205822,97.32313575525812
15,0.25581768347049944,96.8451242829828
